use for analysis,x,y,name
1,39.1398602157224,-89.97300155570593,District of Columbia
1,37.619451204428024,-100.16769715995257,Honolulu
1,42.26241343517661,-72.06423654982184,Cumberland
1,41.57756442974934,-86.17425411613365,Providence
1,42.29000618141011,-87.29296583262779,New Haven
1,26.120455732514998,-80.2362569563874,Broward
1,37.65482629867983,-100.90973851259392,Maricopa
1,44.851687529814164,-85.64777179848875,Rockingham
1,40.73256516350346,-74.049765886508,Hudson
1,34.47229311412412,-115.46825348911429,Pima
1,41.56235385709629,-87.01213485567588,Laramie
1,40.74831173698368,-124.18962747920375,Humboldt
1,36.45775302346057,-98.24972396171248,Suffolk
1,35.813861834164115,-98.90875680743785,Worcester
1,38.00646839128153,-98.5940926897585,Kern
1,38.74435067846294,-96.05839131082564,Washoe
1,41.094554019457895,-96.79012251842494,Prince George's
1,34.94108129881256,-105.28330323091282,Salt Lake
1,38.937644746686985,-117.39702985067935,Los Angeles
1,38.00993408235085,-122.61725165565953,Teton
1,38.73117247552333,-91.49823219073248,Marin
1,45.50778652903565,-122.59820633309879,Uintah
1,39.73232257047602,-110.6675005737889,Utah
1,41.16317400692616,-95.77276752358999,Multnomah
1,35.09672314229432,-98.39160746192594,Monterey
1,35.781139310336165,-101.68951247398046,Monroe
1,39.184706817640595,-84.51417866519598,Weber
1,33.83875910560157,-117.085108610476,Orange
1,38.01163944637019,-115.53465949066371,Hamilton
1,34.220935216037155,-117.37244198471458,Riverside
1,33.20850608673094,-101.91091289476513,Sacramento
1,37.84656381890525,-121.30618314043329,San Bernardino
1,42.990536749510326,-87.92790368306633,San Diego
1,34.621430052129824,-120.09537020722091,San Francisco
1,37.24197368361699,-121.7865928702338,San Joaquin
1,25.641106741748338,-80.38803066276942,Milwaukee
1,37.72065115029992,-85.86934998131255,Queens
1,64.81071438081318,-147.5547224147867,Santa Barbara
1,33.00644374226804,-100.32534969072172,Santa Clara
1,39.09631859037384,-104.48530046710768,Miami-Dade
1,40.56116423436585,-108.81265301666323,Henrico
1,39.6599709432096,-93.04414106511642,Lake
1,27.940745096059764,-82.72929369334531,Fairbanks North Star
1,35.561242683510905,-97.51410107631527,Solano
1,38.18914524182304,-85.7773796780332,Sonoma
1,34.967984019410366,-86.51474537500664,Stanislaus
1,31.739084078891974,-106.41698519494508,Philadelphia
1,36.10646843667862,-95.98768079204632,Pinellas
1,41.603192770960604,-93.65301117145872,Oklahoma
1,35.15309123638199,-89.88328126451566,Jefferson
1,40.745344374398165,-87.08789181251029,Dallas
1,35.85901799517129,-78.65269744838814,Pulaski
1,29.731646576385312,-95.18128876955831,Fulton
1,30.31472851863342,-97.7288821933382,El Paso
1,38.63465029526933,-90.2209229979419,Tulsa
