use for analysis,check_time
1,2018-01-01T00:00:00.000000000
1,2018-01-08T00:00:00.000000000
1,2018-01-15T00:00:00.000000000
1,2018-01-22T00:00:00.000000000
1,2018-01-29T00:00:00.000000000
1,2018-02-05T00:00:00.000000000
1,2018-02-12T00:00:00.000000000
1,2018-02-19T00:00:00.000000000
1,2018-02-26T00:00:00.000000000
1,2018-03-05T00:00:00.000000000
1,2018-03-12T00:00:00.000000000
1,2018-03-19T00:00:00.000000000
1,2018-03-26T00:00:00.000000000
1,2018-04-02T00:00:00.000000000
1,2018-04-09T00:00:00.000000000
1,2018-04-16T00:00:00.000000000
1,2018-04-23T00:00:00.000000000
1,2018-04-30T00:00:00.000000000
1,2018-05-07T00:00:00.000000000
1,2018-05-14T00:00:00.000000000
1,2018-05-21T00:00:00.000000000
1,2018-05-28T00:00:00.000000000
1,2018-06-04T00:00:00.000000000
1,2018-06-11T00:00:00.000000000
1,2018-06-18T00:00:00.000000000
1,2018-06-25T00:00:00.000000000
1,2018-07-02T00:00:00.000000000
1,2018-07-09T00:00:00.000000000
1,2018-07-16T00:00:00.000000000
1,2018-07-23T00:00:00.000000000
1,2018-07-30T00:00:00.000000000
1,2018-08-06T00:00:00.000000000
1,2018-08-13T00:00:00.000000000
1,2018-08-20T00:00:00.000000000
1,2018-08-27T00:00:00.000000000
1,2018-09-03T00:00:00.000000000
1,2018-09-10T00:00:00.000000000
1,2018-09-17T00:00:00.000000000
1,2018-09-24T00:00:00.000000000
1,2018-10-01T00:00:00.000000000
1,2018-10-08T00:00:00.000000000
1,2018-10-15T00:00:00.000000000
1,2018-10-22T00:00:00.000000000
1,2018-10-29T00:00:00.000000000
1,2018-11-05T00:00:00.000000000
1,2018-11-12T00:00:00.000000000
1,2018-11-19T00:00:00.000000000
1,2018-11-26T00:00:00.000000000
1,2018-12-03T00:00:00.000000000
1,2018-12-10T00:00:00.000000000
1,2018-12-17T00:00:00.000000000
1,2018-12-24T00:00:00.000000000
1,2018-12-31T00:00:00.000000000
